Country,Surface area (km2),Population in thousands (2017),"Population density (per km2, 2017)","Sex ratio (m per 100 f, 2017)",GDP: Gross domestic product (million current US$),"GDP growth rate (annual %, const. 2005 prices)",GDP per capita (current US$),Economy: Agriculture (% of GVA),Economy: Industry (% of GVA),Economy: Services and other activity (% of GVA),Employment: Agriculture (% of employed),Employment: Industry (% of employed),Employment: Services (% of employed),Unemployment (% of labour force),Labour force participation (female/male pop. %),Agricultural production index (2004-2006=100),Food production index (2004-2006=100),International trade: Exports (million US$),International trade: Imports (million US$),International trade: Balance (million US$),"Balance of payments, current account (million US$)",Population growth rate (average annual %),Urban population (% of total population),Urban population growth rate (average annual %),"Fertility rate, total (live births per woman)","Life expectancy at birth (females/males, years)","Population age distribution (0-14 / 60+ years, %)",International migrant stock (000/% of total pop.),Refugees and others of concern to UNHCR (in thousands),Infant mortality rate (per 1000 live births,Health: Total expenditure (% of GDP),Health: Physicians (per 1000 pop.),Education: Government expenditure (% of GDP),Education: Primary gross enrol. ratio (f/m per 100 pop.),Education: Secondary gross enrol. ratio (f/m per 100 pop.),Education: Tertiary gross enrol. ratio (f/m per 100 pop.),Seats held by women in national parliaments %,Mobile-cellular subscriptions (per 100 inhabitants),Mobile-cellular subscriptions (per 100 inhabitants),Individuals using the Internet (per 100 inhabitants),Threatened species (number),Forested area (% of land area),CO2 emission estimates (million tons/tons per capita),"Energy production, primary (Petajoules)",Energy supply per capita (Gigajoules),"Pop. using improved drinking water (urban/rural, %)","Pop. using improved sanitation facilities (urban/rural, %)",Net Official Development Assist. received (% of GNI)
Holy See,0,1,1800,219.2,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,0,100,0,-99,-99,-99,0.8/100.0,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,1,-99,-99,-99,-99,-99,-99,-99,-99
Hungary,93024,9722,107.4,90.7,121715,3.1,12350.6,4.1,31.9,64,4.3,29.8,65.9,4.5,46.6/62.4,99,99,103071,92044,11027,3946,-0.3,71.2,0.5,1.3,78.8/71.7,14.3/26.0,449.6/4.6,14.4,4.9,7.4,3.3,4.7,101.3/101.9,105.3/105.1,56.7/45.3,10.1,118.9,72.8,66,22.8,42.1/4.3,423,97,100.0/100.0,97.8/98.6,-99,-99
Iceland,103000,335,3.3,100.7,16780,4.2,50936,6.4,24,69.7,4,17.7,78.2,3.6,70.3/77.2,117,117,4450,5703,-1254,854,0.6,94.1,1.3,2,83.8/80.6,20.1/20.1,37.5/11.4,0.5,1.6,8.9,3.8,7.8,98.6/99.7,121.0/116.3,103.1/60.2,47.6,114,98.2,27,0.5,2.0/6.1,284,952,100.0/100.0,98.7/100.0,-99,-99
India,3287263,1339180,450.4,107.6,2116239,7.6,1614.2,17,29.7,53.2,44.3,24.5,31.2,3.4,27.0/79.1,143,142,260327,356705,-96378,-22457,1.2,32.7,2.4,2.4,69.1/66.2,27.8/9.4,5241.0/0.4,211.1,41.3,4.7,0.7,3.8,115.1/102.8,74.5/73.5,26.7/27.0,11.8,78.8,26,1052,23.7,2238.4/1.7,23103,27,97.1/92.6,62.6/28.5,0.16,-99
Indonesia,1910931,263991,145.7,101.4,861934,4.8,3346.5,14,41.3,44.7,31.4,22.4,46.2,5.8,51.0/83.7,139,140,144490,135653,8837,-17697,1.2,53.7,2.7,2.4,70.7/66.6,27.4/8.6,328.8/0.1,13.8,25,2.8,0.2,3.6,104.4/107.2,86.0/85.7,25.7/22.9,19.8,132.4,22,1281,50.6,464.2/1.8,19481,35,94.2/79.5,72.3/47.5,0,-99
Iran (Islamic Republic of),1628750,81163,49.8,101.2,398563,0.4,5038.1,8.6,39.1,52.3,16.6,32.5,50.9,11.3,16.3/73.2,106,107,45627,35333,10294,-99,1.2,73.4,2.1,1.7,76.2/74.0,23.7/8.8,2726.4/3.4,978.3,14.8,7.5,1.5,2.9,111.7/106.3,88.9/89.4,67.7/75.9,5.9,93.4,44.1,134,6.6,649.5/8.3,13291,127,97.7/92.1,92.8/82.3,0.02,-99
Ireland,69797,4762,69.1,98.4,283716,26.3,60513.6,1,41.7,57.3,4.8,17.7,77.4,7.6,51.9/67.1,102,102,129315,76997,52318,28967,0.3,63.2,1.6,2,83.0/78.7,21.6/19.1,746.3/15.9,10.5,3.4,7.8,2.8,5.3,102.0/100.9,129.4/125.6,87.6/80.1,22.2,103.7,80.1,50,10.9,34.1/7.3,84,114,97.9/97.8,89.1/92.9,-99,-99
Israel,22072,8322,384.5,98.7,299413,2.5,37129.4,1.3,21.2,77.5,1,17.9,81,5.9,58.5/69.0,112,112,60571,65803,-5232,13642,1.6,92.1,1.4,3,83.7/80.0,27.9/16.1,2011.7/24.9,44.7,3.4,7.8,3.6,5.8,105.1/104.4,103.0/102.0,75.5/54.6,27.5,133.5,78.9,174,7.5,64.6/8.1,313,119,100.0/100.0,100.0/100.0,-99,-99
Italy,302073,59360,201.8,95.1,1821580,0.7,30462.4,2.2,23.5,74.2,3.5,27.1,69.4,11.4,39.2/57.8,89,89,461529,404578,56951,29348,-0.1,69,0.4,1.4,84.7/79.9,13.5/29.4,5788.9/9.7,216.7,3,9.2,3.9,4.1,100.6/101.4,101.7/104.1,72.2/53.2,31,151.3,65.6,359,31.4,320.4/5.4,1539,103,100.0/100.0,99.5/99.6,-99,-99
Japan,377930,127484,349.7,95.4,4383076,1.2,34628.7,1.2,26.4,72.4,3.7,26.5,69.8,3,48.9/69.7,96,97,644932,606924,38008,135608,-0.1,93.5,0.6,1.4,86.4/80.0,12.9/33.4,2043.9/1.6,19.4,2.2,10.2,2.3,3.6,101.2/101.3,101.9/101.6,60.9/65.7,9.3,125,93.3,404,68.5,1214.0/9.6,1114,146,100.0/100.0,100.0/100.0,-99,-99
Jordan,89318,9702,109.3,102.6,37517,2.4,4940.1,4,27.7,68.4,2,17.8,80.2,13.4,14.5/64.5,134,135,7509,19207,-11698,-3332,4.9,83.7,3.8,3.6,75.5/72.2,35.5/5.7,3112.0/41.0,721.4,17.1,7.5,2.6,-99,97.6/97.1,84.8/80.2,47.3/42.5,15.4,179.4,53.4,113,1.1,26.5/3.6,7,47,97.8/92.3,98.6/98.9,5.8,-99
Kazakhstan,2724902,18204,6.7,93.9,181754,1.2,10312.1,5,32.5,62.5,18.1,20.4,61.6,5.6,66.3/77.5,126,127,36775,25175,11601,-5464,1.6,53.2,0.9,2.7,73.9/64.3,27.9/11.1,3546.8/20.1,9.2,14.1,4.4,3.3,2.8,109.1/108.8,113.5/110.6,51.3/41.4,27.1,187.2,72.9,82,1.2,248.3/14.3,7091,193,99.4/85.6,97.0/98.1,0.05,-99
Kyrgyzstan,199949,6045,31.5,98.4,6572,3.5,1106.4,15.4,25.9,58.7,29.2,21,49.8,7.7,49.7/77.5,108,110,1423,3844,-2421,-721,1.6,35.7,1.6,3.1,74.3/66.4,31.8/7.6,204.4/3.4,8.2,19.6,6.5,1.9,5.5,106.8/107.9,92.8/91.4,53.3/40.8,19.2,132.8,30.2,44,3.4,9.6/1.7,80,27,96.7/86.2,89.1/95.6,12.16,-99
Lao People's Democratic Republic,236800,6858,29.7,99.5,12585,7.6,1850.2,23.6,32.8,43.6,78.3,4,17.7,1.5,77.9/77.8,193,186,2066,4513,-2447,-2264,1.3,38.6,4.9,2.9,66.8/63.9,32.9/6.3,22.2/0.3,-99,47.3,1.9,0.2,3.3,109.1/113.5,59.3/64.1,16.5/17.3,27.5,53.1,18.2,209,80.5,2.0/0.3,72,12,85.6/69.4,94.5/56.0,4.03,-99
Latvia,64573,1950,31.3,84.9,27004,2.7,13704.1,3.2,23.3,73.5,7.3,23,69.7,9.6,54.5/67.7,130,130,11433,13596,-2163,-210,-1.2,67.4,-0.7,1.5,78.7/68.8,15.4/26.2,263.1/13.4,252.6,6.5,5.9,3.2,5.3,99.2/100.1,119.1/119.9,79.2/55.5,16,127,79.2,30,54,7.0/3.5,108,99,99.8/98.3,90.8/81.5,-99,-99
Lebanon,10452,6082,594.6,100.6,50149,1.5,8571.4,3.2,19.6,77.2,8.2,22.4,69.4,7,23.8/70.6,95,95,3402,20409,-17007,-8146,6,87.8,3.2,1.7,80.9/77.3,23.1/12.0,1997.8/34.1,1054.2,9.2,6.4,2.4,2.6,88.3/96.6,61.0/61.5,45.7/39.5,3.1,87.1,74,87,13.4,24.1/4.3,7,55,99.0/99.0,80.7/80.7,2.04,-99
Liechtenstein,160,38,237,98.4,6361,1.4,169491.8,0.7,40.1,59.2,-99,-99,-99,2.6,53.5/70.6,102,102,-99,-99,-99,-99,0.8,14.3,0.5,1.5,-99,14.9/22.7,23.5/62.6,0.3,-99,-99,-99,2.6,104.8/106.5,101.7/130.7,21.9/44.8,12,108.8,96.6,6,43.1,0.0/1.1,1,74,-99,-99,-99,-99
Lithuania,65286,2890,46.1,85.4,41402,1.8,14383.7,3.6,29.8,66.5,8.7,24.5,66.8,9.2,54.1/66.1,125,125,25025,27501,-2476,-977,-1.3,66.5,-0.5,1.6,79.3/68.5,14.8/25.3,136.0/4.7,4.7,4.4,6.6,4.3,4.6,103.7/103.2,106.1/110.3,82.0/55.8,21.3,139.5,71.4,26,34.8,12.8/4.4,74,98,99.7/90.4,97.2/82.8,-99,-99
Luxembourg,2586,584,225.3,101,56802,3.5,100160.8,0.2,12.1,87.7,1.3,10.2,88.5,5.6,52.0/65.5,98,98,12838,19124,-6285,2962,2.2,90.2,1.7,1.5,83.4/78.8,16.4/19.6,249.3/44.0,4.2,3.4,6.9,2.9,4.1,97.3/96.9,103.5/101.1,20.7/18.2,28.3,148.5,97.3,11,33.5,9.7/17.3,6,290,100.0/100.0,97.5/98.5,-99,-99
Madagascar,587295,25571,44,99.5,9739,3.1,401.8,24.9,18.4,56.7,74.2,9.4,16.5,2.3,83.8/89.0,119,120,2256,2965,-709,-622,2.7,35.1,4.7,4.4,66.0/63.0,41.0/4.8,32.1/0.1,0.1,36.8,3,0.1,2.1,148.9/148.9,38.1/38.8,4.6/5.0,19.2,46,4.2,1324,21.5,3.1/0.1,129,7,81.6/35.3,18.0/8.7,7.05,-99
Malaysia,330323,31624,96.3,106.7,296284,5,9768.4,8.6,39.6,51.8,11.8,27.3,60.9,3.3,49.3/77.8,122,130,189414,168375,21039,8960,1.8,74.7,2.7,2.1,77.1/72.6,24.3/9.7,2514.2/8.3,238.6,6.5,4.2,1.3,5,101.9/101.7,80.7/74.6,31.8/20.8,10.4,143.9,71.1,1272,67.5,242.8/8.1,3738,118,100.0/93.0,96.1/95.9,0,-99
Malta,315,431,1346.4,100.9,9747,6.2,23280.7,1.4,15,83.6,1.2,20.9,77.9,5.4,39.4/65.7,96,96,4039,7182,-3143,539,0.5,95.4,0.5,1.4,82.0/78.6,14.4/26.1,41.4/9.9,8.1,4.8,9.7,3.9,7.8,104.7/102.2,98.1/91.7,55.2/40.3,12.5,129.3,76.2,39,1.1,2.3/5.6,1,78,100.0/100.0,100.0/100.0,-99,-99
Mexico,1964375,129163,66.4,99.2,1140724,2.5,8980.9,3.6,36,60.4,13.4,25.2,61.3,4.1,45.5/79.5,120,120,373883,387064,-13181,-33216,1.4,79.2,1.6,2.3,78.9/74.0,26.7/10.1,1193.2/0.9,5.9,18.8,6.3,2.1,5.3,103.2/103.6,93.5/87.7,30.0/29.9,42.6,85.3,57.4,1162,34,480.3/3.8,8514,62,97.2/92.1,88.0/74.5,0.03,-99
Mongolia,1564116,3076,2,97.9,11758,2.3,3973.4,14.8,34.1,51.1,28.4,20.7,51,6.3,56.8/69.3,147,149,4917,3358,1559,-948,1.9,72,2.8,2.8,72.7/64.5,29.7/6.6,17.6/0.6,0,22.8,4.7,2.9,4.6,100.0/101.8,92.4/90.5,79.7/57.7,17.1,105,21.4,41,8.1,20.8/7.2,677,84,66.4/59.2,66.4/42.6,2.21,-99
Mozambique,799380,29669,37.7,95.5,14806,6.6,529.2,24.6,21,54.4,75,4.1,21,24.1,82.2/75.6,137,137,3352,5295,-1943,-5833,2.9,32.2,3.3,5.4,58.1/54.0,44.8/4.8,222.9/0.8,24,67.3,7,0.1,6.5,101.2/110.4,31.1/33.8,5.4/7.4,39.6,74.2,9,309,48.5,8.4/0.3,779,20,80.6/37.0,42.4/10.1,12.54,-99
Myanmar,676577,53371,81.7,95.5,62601,7.3,1161.5,26.7,34.5,38.7,23.6,14.6,61.7,0.8,74.7/80.8,130,128,11673,15696,-4023,-3921,0.9,34.1,2.5,2.3,68.3/63.7,26.8/9.4,73.3/0.1,1392.1,45,2.3,0.6,-99,98.3/101.0,52.0/50.6,14.9/12.1,10.2,76.7,21.8,321,45.3,21.6/0.4,1078,15,92.7/74.4,84.3/77.1,2.23,-99
Netherlands,41542,17036,505.2,99,750318,2,44332.1,1.8,20,78.2,2.2,15.9,81.9,5.6,57.3/69.7,115,115,511714,420969,90745,65129,0.3,90.5,1,1.7,83.1/79.4,16.4/25.0,1979.5/11.7,116.3,3.5,10.9,3.4,5.5,104.4/105.0,136.3/134.7,82.5/74.7,38,123.5,93.1,40,11.1,167.3/9.9,2447,178,100.0/100.0,97.5/99.9,-99,-99
New Caledonia,18575,276,15.1,101.5,8937,3.2,33965.7,1.4,26,72.6,3,26.9,70.1,15.1,45.5/66.9,102,103,1344,2422,-1079,-1469,1.4,70.2,2.2,2.2,79.3/73.7,22.5/14.2,64.3/24.4,-99,13,-99,-99,-99,-99,-99,-99,-99,93.5,74,526,45.9,4.3/16.5,1,215,98.5/98.5,100.0/100.0,-99,-99
New Zealand,268107,4706,17.9,96.7,173417,3.1,38294.3,6.5,23,70.6,5.9,21.4,72.6,5.5,62.1/72.8,116,118,33833,36423,-2589,-5501,1.1,86.3,1,2,83.1/79.5,19.8/20.8,1039.7/23.0,1.7,4.4,11,2.9,6.4,99.1/99.6,119.9/113.4,96.7/71.6,34.2,121.8,88.2,199,38.6,34.7/7.7,783,207,100.0/100.0,-99,-99,-99
Norway,386194,5305,14.5,101.8,386578,1.6,74185.5,1.8,34.6,63.5,2.2,20.2,77.6,5.1,61.1/68.3,103,104,89120,72473,16647,33746,1.2,80.5,1.3,1.8,83.6/79.5,17.8/22.3,741.8/14.2,73.2,2.4,9.7,4.4,7.4,100.3/100.5,111.1/114.7,91.5/62.8,39.6,113.6,96.8,64,33.2,47.6/9.2,8204,233,100.0/100.0,98.0/98.3,-99,-99
Pakistan,796095,197016,255.6,105.6,266458,5.5,1410.4,25.5,19,55.5,42.1,19.8,38.1,5.9,24.8/82.5,135,138,20534,46998,-26464,-1603,2.1,38.8,2.8,3.7,66.8/65.0,34.8/6.7,3629.0/1.9,2739.4,69.8,2.6,0.8,2.6,85.2/99.7,39.2/49.5,9.2/10.6,20.6,66.9,18,140,2,166.3/0.9,2202,17,93.9/89.9,83.1/51.1,1.32,-99
Panama,75320,4099,55.1,100.4,52132,5.8,13268.1,2.8,27.1,70,14.5,19.6,65.9,6.2,50.5/80.4,117,118,636,11697,-11061,-3377,1.7,66.6,2.1,2.6,80.5/74.3,27.4/11.4,184.7/4.7,21.5,15.2,8,1.6,3.2,100.9/103.5,78.3/72.9,46.5/31.2,18.3,174.2,51.2,383,62.3,8.8/2.3,31,35,97.7/88.6,83.5/58.0,0.02,-99
Poland,312679,38171,124.6,93.4,477066,3.9,12355.5,2.6,34.1,63.3,10.9,29.6,59.5,5.3,49.1/64.9,113,113,196455,188518,7937,-2932,0,60.5,-0.1,1.3,81.0/72.9,14.8/24.0,619.4/1.6,23.7,4.5,6.4,2.3,4.9,100.7/100.5,106.1/110.0,82.6/54.2,28,148.7,68,58,30.7,285.7/7.4,2819,102,99.3/96.9,97.5/96.7,-99,-99
Portugal,92226,10330,112.8,89.8,199122,1.6,19239.2,2.3,22.3,75.4,8,23.8,68.2,10.5,53.3/63.7,104,104,55658,67580,-11922,842,-0.4,63.5,1,1.3,83.5/77.3,13.6/27.9,837.3/8.1,1.8,2.9,9.5,4.4,5.1,105.3/109.4,117.3/121.0,65.7/58.0,34.8,110.4,68.6,281,34.9,45.1/4.3,250,84,100.0/100.0,99.6/99.8,-99,-99
Qatar,11607,2639,227.3,301.2,164641,3.6,73653.4,0.2,56.4,43.5,1.2,54.1,44.7,0.3,53.1/93.6,154,154,57254,32058,25196,13751,6.6,99.2,6,2,79.4/76.8,13.9/2.8,1687.6/75.5,1.5,7.2,2.2,2,3.6,103.6/102.4,103.6/82.0,43.9/6.3,0,153.6,92.9,39,0,107.9/49.7,9166,846,100.0/100.0,98.0/98.0,-99,-99
Republic of Korea,100284,50982,524.3,100.2,1377873,2.6,27396.7,2.3,38,59.7,5,24.7,70.3,3.6,50.2/71.9,104,104,495418,406182,89236,105871,0.4,82.5,0.7,1.2,84.4/77.9,13.5/20.1,1327.3/2.6,8,3,7.4,2.2,5.1,98.7/99.3,98.4/99.3,80.2/104.8,17,118.5,89.9,111,63.5,587.2/11.7,2023,223,99.7/87.9,100.0/100.0,-99,-99
Republic of Moldova,33846,4051,123.3,92.2,6475,-0.7,1591.4,13.4,20.8,65.8,28.8,30.9,40.3,5,39.1/46.5,109,109,2045,4020,-1975,-415,-0.1,45,-0.7,1.3,75.2/66.7,15.7/17.6,142.9/3.5,5.5,14.3,10.3,2.5,7.5,91.9/92.9,86.5/85.8,47.4/35.3,22.8,108,49.8,35,12.3,4.9/1.2,15,23,96.9/81.4,87.8/67.1,4.49,-99
Romania,238391,19679,85.5,94,177956,3.7,9120.7,4.8,34.9,60.3,25.5,27.7,46.8,7.1,47.3/64.5,100,100,63581,74605,-11024,-2096,-0.6,54.6,0,1.5,78.4/71.4,15.3/24.9,226.9/1.2,3.2,8.7,5.6,2.7,3.1,89.0/90.5,92.0/92.5,59.0/47.8,20.7,107.1,55.8,104,29.5,70.0/3.6,1109,68,100.0/100.0,92.2/63.3,-99,-99
Russian Federation,17098246,143990,8.8,86.8,1326016,-3.7,9243.3,4.7,31.8,63.5,6.8,27.1,66.1,5.8,56.3/71.3,120,120,285491,182257,103234,69000,0.1,74,-0.1,1.7,75.9/64.7,17.6/21.1,11643.3/8.1,418.4,8.3,7.1,3.3,3.9,100.9/100.1,103.4/105.5,88.3/72.9,15.8,160,73.4,235,49.8,1705.3/11.9,54829,208,98.9/91.2,77.0/58.7,-99,-99
Serbia,88499,8791,100.5,95.6,37160,0.8,5238.6,8.2,31.4,60.5,19.4,24.5,56.1,15.5,43.4/59.9,102,102,14852,19231,-4379,-1751,-0.4,55.6,-0.3,1.6,77.5/71.8,16.5/24.5,807.4/9.1,254.1,9.8,10.4,2.5,4.2,101.2/101.5,97.4/96.0,66.9/50.2,34.4,120.5,65.3,71,31.1,37.7/4.3,393,62,99.4/98.9,98.2/94.2,0.9,-99
Seychelles,457,95,206,97.2,1363,6.8,14133.2,2.7,13.6,83.8,3.6,17.9,78.2,4.1,61.9/68.3,105,109,335,833,-498,-256,0.5,53.9,1.1,2.4,77.9/68.7,22.2/13.3,12.8/13.3,-99,10.2,3.4,1,3.6,103.6/101.1,84.5/78.8,19.6/9.3,21.2,158.1,58.1,439,88.4,0.5/5.2,0,72,95.7/95.7,98.4/98.4,0.5,-99
Sint Maarten (Dutch part),34,40,1180,95.7,1094,0.5,28241.7,0.1,12.3,87.6,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,23,3.1,100,2,-99,77.1/69.2,21.0/10.4,27.3/70.4,0,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,51,-99,0.7/19.5,-99,303,-99,-99,-99,-99
Slovakia,49035,5448,113.3,94.6,87268,3.8,16082.5,3.7,34.8,61.5,3.3,34.5,62.2,9.9,51.4/68.0,97,97,77565,75156,2409,193,0.1,53.6,-0.3,1.4,79.8/72.6,15.4/21.8,177.2/3.3,2.7,5.7,8.1,3.4,4.2,99.2/100.2,92.8/92.1,64.6/41.8,20,122.3,85,54,40.3,30.7/5.6,264,121,100.0/100.0,99.4/98.2,-99,-99
Slovenia,20273,2080,103.3,98.6,42777,2.3,20689.8,2.4,32.7,64.9,8.9,29.6,61.5,8.1,51.8/62.2,89,89,27585,26646,939,2216,0.3,49.7,0.1,1.6,83.2/77.2,15.0/26.3,236.0/11.4,0.6,2.5,9.2,2.8,5.5,99.4/99.2,110.5/110.8,98.5/68.2,36.7,113.2,73.1,143,62,12.8/6.2,154,135,99.7/99.4,99.1/99.1,-99,-99
South Africa,1221037,56717,46.8,96.4,314571,1.3,5773,2.4,28.9,68.7,6.1,26.2,67.7,26,46.4/61.1,125,126,74111,74744,-633,-13644,1.4,64.8,1.6,2.6,63.0/56.1,29.0/8.4,3142.5/5.8,1201.9,36.5,8.8,0.8,6,97.3/102.2,111.5/88.0,23.3/15.7,42.2,159.3,51.9,581,7.6,489.8/9.1,7102,122,99.6/81.4,69.6/60.5,0.47,-99
Spain,505944,46354,92.9,96.2,1192955,3.2,25865.4,2.6,23.6,73.7,3.9,19.2,76.8,18.3,52.1/64.2,102,102,281777,302539,-20762,16208,-0.2,79.6,0.7,1.3,85.3/79.6,14.7/25.3,5853.0/12.7,28.8,2.9,9,3.8,4.3,105.6/104.5,129.6/130.0,97.1/82.5,39.1,107.9,78.7,617,36.8,234.0/5.1,1432,102,100.0/100.0,99.8/100.0,-99,-99
State of Palestine,6020,4921,817.4,102.9,12677,3.5,2715.5,4.8,23.4,71.9,8.7,29.8,61.5,24.2,18.4/69.7,90,90,929,5058,-4128,-1713,2.7,75.3,2.8,4.2,74.8/71.1,39.6/4.6,255.5/5.5,0,20,-99,-99,1.3,94.3/94.4,87.0/79.2,54.4/34.5,-99,77.6,57.4,31,1.5,2.8/0.6,9,15,50.7/81.5,93.0/90.2,17.52,-99
Sweden,438574,9911,24.2,100.2,495694,4.1,50687.5,1.3,26.3,72.4,1.8,18.2,79.9,7.3,60.7/68.0,100,100,139574,140838,-1263,23250,0.8,85.8,0.8,1.9,83.7/80.0,17.5/25.5,1639.8/16.8,348.5,2.4,11.9,4.1,7.7,125.6/120.6,150.0/131.5,75.7/49.6,43.6,130.4,90.6,54,68.9,43.4/4.5,1428,206,100.0/100.0,99.2/99.6,-99,-99
Switzerland,41291,8476,214.5,98.2,670790,0.8,80831.1,0.7,25.5,73.8,3.5,20.4,76.1,4.6,62.5/74.5,106,106,304691,269157,35534,77378,1.2,73.9,1.1,1.5,84.8/80.5,14.9/24.1,2438.7/29.4,110.1,3.9,11.7,4.1,5.1,103.8/104.1,99.4/103.0,58.5/56.9,32.5,142,88,74,31.6,35.3/4.3,552,126,100.0/100.0,99.9/99.8,-99,-99
Tajikistan,142600,8921,63.7,100.9,7853,4.2,925.9,25,28,47.1,57.2,13.4,29.4,10.8,59.6/77.9,155,172,899,3030,-2132,-472,2.2,26.8,2.6,3.5,73.5/67.7,35.3/5.8,275.1/3.2,21.8,38.9,6.9,1.7,5.2,101.2/99.8,83.1/92.5,24.0/33.6,19,98.6,19,45,3,5.2/0.6,76,14,93.1/66.7,93.8/95.5,4.55,-99
Tunisia,163610,11532,74.2,97.6,41199,0.8,3660.9,10.3,27.8,62,11.7,29.4,58.9,14.6,25.1/71.3,108,108,13483,19456,-5973,-3850,1.2,66.8,1.4,2.3,77.1/73.0,24.0/12.3,56.7/0.5,0.7,18.5,7,1.6,6.3,112.5/115.8,94.2/90.0,43.3/26.2,31.3,129.9,48.5,96,6.6,28.8/2.6,274,39,100.0/93.2,97.4/79.8,1.14,-99
Turkey,783562,80745,104.9,97,717888,4,9125.8,8.6,26.4,65,19.6,27.5,52.9,10.8,30.4/71.4,120,122,142606,198602,-55996,-32278,1.6,73.4,2,2.1,78.1/71.5,25.0/12.0,2964.9/3.8,3006.3,12.6,5.4,1.7,4.8,102.1/102.8,101.1/103.8,88.3/101.0,14.9,96,53.7,388,15.1,346.0/4.5,1303,65,100.0/100.0,98.3/85.5,0.3,-99
Ukraine,603500,44223,76.3,86,90615,-9.9,2021.6,14,26.3,59.7,15.7,24.6,59.7,8.8,52.3/67.5,137,137,36369,39184,-2815,-189,-0.5,69.7,-0.3,1.5,76.0/66.1,15.5/23.2,4834.9/10.8,1644.8,8.8,7.1,3,5.9,105.1/102.8,98.2/100.2,88.4/76.5,12.3,144,49.3,102,16.6,227.3/5.1,3203,98,95.5/97.8,97.4/92.6,1.63,-99
United Arab Emirates,83600,9400,112.4,262.4,370296,3.8,40438.8,0.7,44.9,54.4,3.5,21.1,75.4,3.7,41.7/90.8,70,70,195613,201908,-6296,-99,2,85.5,2.9,1.8,78.2/76.0,13.9/2.4,8095.1/88.4,1.3,6.2,3.6,1.6,-99,116.0/116.7,-99,-99,20,187.4,91.2,56,3.8,211.4/23.2,8642,366,99.6/100.0,98.0/95.2,-99,-99
United Kingdom,242495,66182,273.6,97.4,2858003,2.2,44162.4,0.7,19.4,79.9,1.2,18.4,80.4,5,57.0/68.6,108,108,415856,635570,-219713,-122571,0.6,82.6,0.9,1.9,82.8/79.0,17.7/23.9,8543.1/13.2,151.7,4.1,9.1,2.8,5.7,108.1/108.4,130.4/125.3,64.1/49.0,30,125.8,92,102,12.9,419.8/6.5,4482,116,100.0/100.0,99.1/99.6,-99,-99
United Republic of Tanzania,947303,57310,64.7,97.8,45628,7,877.3,31.1,26.1,42.9,66.9,6.4,26.7,2.7,73.9/83.2,176,180,4742,7876,-3134,-3312,3.1,31.6,5.4,5.2,64.8/60.8,44.9/4.7,261.2/0.5,402.1,44,5.6,0,3.5,82.9/80.5,30.8/33.7,2.5/4.9,36.4,75.9,5.4,1082,52.4,11.6/0.2,935,20,77.2/45.5,31.3/8.3,5.85,-99
United States of America,9833517,324460,35.5,98,18036648,2.6,56053.8,1,19.7,79.3,1.5,17.2,81.3,4.9,55.7/68.1,111,113,1453167,2249661,-796494,-462961,0.7,81.6,1,1.9,81.2/76.5,18.9/21.5,46627.1/14.5,616.5,6,17.1,2.6,5.4,100.0/100.3,98.5/96.7,99.6/72.8,19.1,117.6,74.6,1513,33.9,5254.3/16.2,83887,289,99.4/98.2,100.0/100.0,-99,-99
Uzbekistan,448969,31911,75,99.4,69004,6.8,2308.3,19.2,32.9,47.9,29,23.9,47.1,8.9,48.5/76.6,158,174,27947,25652,2295,-99,1.6,36.4,1.4,2.4,73.5/68.1,28.0/7.6,1170.9/3.9,86.7,31.3,5.8,2.5,-99,103.2/105.6,95.1/96.8,7.1/11.0,16,73.3,42.8,59,7.6,105.2/3.6,2339,62,98.5/80.9,100.0/100.0,0.66,-99
Viet Nam,330967,95541,308.1,98,193241,6.7,2067.9,18.9,37,44.2,41.8,22.9,35.2,2.2,73.9/83.3,136,134,176632,174111,2520,906,1.1,33.6,3,2,80.3/70.7,23.1/11.1,72.8/0.1,11,19.3,7.1,1.2,5.7,108.4/109.3,-99,28.9/28.8,26.7,130.6,52.7,616,47.2,166.9/1.8,2977,30,99.1/96.9,94.4/69.7,1.73,-99
Western Sahara,266000,553,2.1,110.1,-99,-99,-99,-99,-99,-99,37.4,27.9,34.7,6.8,28.6/83.3,100,100,-99,-99,-99,-99,1.8,80.9,3.3,2.6,70.3/66.9,28.1/5.4,5.2/0.9,-99,34.1,-99,-99,-99,-99,-99,-99,-99,-99,-99,49,2.7,-99,-99,-99,-99,-99,-99,-99
Zimbabwe,390757,16530,42.7,95,13893,1.1,890.4,13,30.5,56.5,67.5,7.3,25.2,5,78.0/87.5,99,98,2832,5212,-2379,-1521,2.3,32.4,2.3,4,59.0/56.1,41.2/4.2,398.9/2.6,308.6,46.5,6,0.1,8.4,99.1/100.8,47.1/48.1,8.0/8.9,32.6,84.8,16.4,89,37.2,12.0/0.8,482,30,97.0/67.3,49.3/30.8,6,-99
